time:,03:17:49
src_mac:,ec:2e:98:de:b1:23
dest_mac:,5c:02:14:d1:c2:3e
src_ip:,c0:a8:1f:cc
dest_ip:,78:e9:14:c9
len:,121


time:,03:17:49
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,78:e9:14:c9
dest_ip:,c0:a8:1f:cc
len:,201


time:,03:17:50
src_mac:,ec:2e:98:de:b1:23
dest_mac:,5c:02:14:d1:c2:3e
src_ip:,c0:a8:1f:cc
dest_ip:,78:e9:14:c9
len:,121


time:,03:17:50
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,78:e9:14:c9
dest_ip:,c0:a8:1f:cc
len:,201


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,434


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,506


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,443


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,502


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,443


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,482


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,443


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,496


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,514


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,498


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,498


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,498


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,498


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,514


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,496


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,443


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
dest_mac:,ec:2e:98:de:b1:23
src_ip:,c0:a8:1f:01
dest_ip:,ef:ff:ff:fa
len:,482


time:,03:17:51
src_mac:,5c:02:14:d1:c2:3e
